session_id,timestamp,scenario,audio_rms,audio_peak,audio_zcr,audio_spectral_centroid_hz,audio_mfcc_mean,audio_anomaly,accel_magnitude_mean,accel_std,accel_max,jerk_mean,motion_anomaly,speed_kmh,route_deviation_m,distance_from_safe_zone_m,hour_of_day,night,minutes_since_checkin,incident_history,user_trigger,user_reported_unsafe,distress_label,label_source
RN-00129,2026-08-11T12:17:48,normal_day_walk,0.0669,0.2149,0.109,3135.8,-16.168,0,3.292,0.707,9.034,1.53,0,8.45,7.3,15.9,12,0,7.1,0,0,0,0,controlled_simulation
RN-01647,2026-08-01T04:11:30,suspicious_night_deviation,0.0669,0.2235,0.0914,1698.2,-13.899,0,4.456,1.433,10.204,3.586,0,5.42,260.1,497.8,4,1,120.2,0,0,0,0,controlled_simulation
RN-01853,2026-08-10T03:26:46,simulated_distress_combined,0.2259,0.9558,0.2565,3057.2,-10.648,1,19.247,5.028,30.098,29.025,1,14.22,473.9,834.2,3,1,108.8,0,0,1,1,controlled_simulation
RN-00675,2026-08-20T01:53:19,normal_night_walk,0.0726,0.1499,0.0856,1891.9,-15.687,0,3.327,0.615,6.283,1.95,0,2.53,14.6,87.0,1,1,10.5,0,0,0,0,controlled_simulation
RN-01665,2026-08-03T20:07:13,simulated_help_call,0.2906,0.8038,0.1469,3703.0,-3.963,1,4.123,1.075,5.371,4.499,0,4.04,412.0,560.3,20,0,119.1,0,0,1,1,controlled_simulation
RN-01982,2026-08-29T06:10:12,manual_sos_simulation,0.033,0.2814,0.0675,1850.2,-22.63,0,2.539,0.705,7.955,2.94,0,3.45,245.7,44.6,6,0,78.9,0,1,1,1,controlled_simulation
RN-01084,2026-08-27T10:50:36,exercise_running,0.1228,0.4179,0.0421,1676.6,-22.215,0,8.466,2.159,9.695,6.255,0,10.49,0.0,102.1,10,0,11.3,0,0,0,0,controlled_simulation
RN-01923,2026-08-26T08:14:18,manual_sos_simulation,0.0464,0.1825,0.0919,2083.0,-25.269,0,1.519,1.217,5.681,2.63,0,3.52,346.2,344.2,8,0,86.7,0,1,1,1,controlled_simulation
RN-00100,2026-08-31T12:31:38,normal_day_walk,0.0423,0.1716,0.0686,1226.1,-25.05,0,1.741,0.279,9.386,1.818,0,5.62,34.7,126.2,12,0,34.9,0,0,0,0,controlled_simulation
RN-01180,2026-08-26T18:25:28,social_shout_laughter,0.214,0.726,0.1512,2748.6,-13.22,1,0.992,1.357,6.074,2.142,0,5.91,8.3,229.8,18,0,17.9,1,0,0,0,controlled_simulation
RN-00965,2026-08-23T17:28:19,exercise_running,0.0595,0.4639,0.072,2070.4,-10.837,0,9.162,1.375,8.983,10.174,0,11.18,25.1,132.2,17,0,3.7,0,0,0,0,controlled_simulation
RN-00793,2026-08-18T08:53:25,normal_commute,0.0714,0.1122,0.0308,1743.3,-20.867,0,5.033,0.949,7.559,4.077,0,19.23,31.7,98.2,8,0,64.2,0,0,0,0,controlled_simulation
RN-00030,2026-08-19T22:11:25,normal_day_walk,0.0749,0.1127,0.0955,1697.3,-12.681,0,3.513,0.958,6.931,3.222,0,2.99,11.6,113.6,22,1,59.9,0,0,0,0,controlled_simulation
RN-00629,2026-08-02T22:06:48,normal_night_walk,0.0427,0.1971,0.055,2313.6,-14.349,0,2.034,1.061,8.532,2.742,0,7.57,6.4,50.6,22,1,17.7,0,0,0,0,controlled_simulation
RN-00945,2026-08-04T07:00:01,exercise_running,0.0965,0.1365,0.0983,2011.1,-22.101,0,7.526,2.159,11.829,8.801,0,13.96,25.7,171.1,7,0,52.5,2,0,0,0,controlled_simulation
RN-00573,2026-08-09T02:30:27,normal_night_walk,0.0499,0.1674,0.1206,1718.2,-20.278,0,3.171,1.487,8.123,1.731,0,2.8,0.0,243.4,2,1,41.8,0,0,0,0,controlled_simulation
RN-00908,2026-08-06T13:29:01,normal_commute,0.0892,0.206,0.1117,1396.2,-14.271,0,3.83,1.087,5.951,1.55,0,23.51,15.7,210.7,13,0,35.3,2,0,0,0,controlled_simulation
RN-01081,2026-08-30T07:09:42,exercise_running,0.0637,0.3538,0.0689,1824.9,-15.796,0,5.423,1.415,13.588,8.183,0,8.23,0.6,197.5,7,0,39.5,0,0,0,0,controlled_simulation
RN-00451,2026-08-12T02:22:35,normal_night_walk,0.0851,0.1296,0.1083,1660.9,-15.225,0,4.452,0.736,7.646,4.42,0,3.26,28.3,126.0,2,1,19.5,1,0,0,0,controlled_simulation
RN-01610,2026-08-23T02:38:09,suspicious_night_deviation,0.0704,0.0405,0.09,1768.2,-17.644,0,2.002,0.761,8.997,2.099,0,5.06,452.7,517.0,2,1,90.4,2,0,0,0,controlled_simulation
RN-01291,2026-08-10T22:57:02,minor_route_deviation,0.09,0.1403,0.0714,2173.8,-15.575,0,4.707,1.18,9.473,3.549,0,6.81,60.0,236.3,22,1,49.0,0,0,0,0,controlled_simulation
RN-01079,2026-08-11T14:37:59,exercise_running,0.0783,0.3346,0.0415,1243.5,-10.567,0,6.137,3.139,9.587,10.049,0,12.61,5.8,5.0,14,0,17.7,2,0,0,0,controlled_simulation
RN-00255,2026-08-12T06:13:12,normal_day_walk,0.0653,0.2063,0.0861,2328.6,-21.26,0,3.979,1.35,8.677,2.882,0,6.6,16.6,175.9,6,0,15.3,0,0,0,0,controlled_simulation
RN-00125,2026-08-01T13:50:56,normal_day_walk,0.0556,0.1624,0.0598,1237.9,-16.046,0,2.493,0.999,7.897,2.079,0,7.84,24.8,155.4,13,0,14.9,0,0,0,0,controlled_simulation
RN-01928,2026-08-25T20:18:32,manual_sos_simulation,0.0302,0.1927,0.0269,1580.1,-22.137,0,2.479,0.953,4.478,2.714,0,6.71,158.3,355.1,20,0,77.2,0,1,1,1,controlled_simulation
RN-00252,2026-08-11T09:29:31,normal_day_walk,0.0493,0.2129,0.0972,2625.3,-17.145,0,2.446,1.508,8.223,3.308,0,5.49,49.3,268.7,9,0,19.5,0,0,0,0,controlled_simulation
RN-00586,2026-08-30T03:38:20,normal_night_walk,0.0712,0.0655,0.118,2175.5,-14.776,0,2.477,1.099,8.39,2.687,0,7.03,47.5,99.7,3,1,1.0,0,0,0,0,controlled_simulation
RN-01569,2026-08-13T21:58:36,suspicious_night_deviation,0.0419,0.1956,0.116,2192.0,-11.037,0,2.702,1.462,9.558,2.864,0,3.19,414.8,672.3,21,0,63.3,1,0,0,0,controlled_simulation
RN-00825,2026-08-02T08:54:14,normal_commute,0.0433,0.2341,0.0715,1922.2,-27.048,0,3.549,0.224,7.184,3.151,0,4.0,7.4,206.5,8,0,14.0,1,0,0,0,controlled_simulation
RN-00508,2026-08-06T22:28:37,normal_night_walk,0.0643,0.0811,0.0831,2267.1,-22.035,0,3.765,0.922,7.517,1.447,0,3.92,28.8,228.0,22,1,1.0,0,0,0,0,controlled_simulation
RN-00890,2026-08-08T08:09:55,normal_commute,0.0191,0.1554,0.0443,1861.4,-22.489,0,0.997,0.72,12.617,2.544,0,12.66,29.9,312.7,8,0,10.8,0,0,0,0,controlled_simulation
RN-00071,2026-08-28T15:03:51,normal_day_walk,0.0631,0.1802,0.1243,1805.7,-19.219,0,2.525,1.017,7.132,2.676,0,7.04,12.9,171.7,15,0,7.2,0,0,0,0,controlled_simulation
RN-01609,2026-08-18T22:22:50,suspicious_night_deviation,0.0842,0.1926,0.1212,1316.0,-25.28,0,2.252,0.981,3.034,2.929,0,7.4,341.6,667.4,22,1,96.2,1,0,0,0,controlled_simulation
RN-01533,2026-08-23T21:05:40,suspicious_night_deviation,0.0749,0.2234,0.0833,1640.1,-14.286,0,4.196,0.903,4.755,3.915,0,2.76,457.0,622.2,21,0,109.4,1,0,0,0,controlled_simulation
RN-00248,2026-08-16T12:31:15,normal_day_walk,0.0677,0.2666,0.079,1522.9,-6.081,0,3.154,1.558,3.56,2.933,0,7.66,19.6,112.6,12,0,9.9,1,0,0,0,controlled_simulation
RN-01451,2026-08-22T15:30:04,sudden_phone_drop,0.0463,0.2838,0.0346,2803.9,-18.03,0,9.0,5.586,23.824,13.275,1,5.05,6.9,179.1,15,0,17.8,0,0,0,0,controlled_simulation
RN-00213,2026-08-25T07:28:24,normal_day_walk,0.0546,0.145,0.0601,1378.8,-15.081,0,1.806,0.921,5.353,0.928,0,8.38,8.6,133.4,7,0,32.7,0,0,0,0,controlled_simulation
RN-00910,2026-08-19T13:07:41,normal_commute,0.0429,0.2271,0.0631,2404.6,-8.85,0,3.229,1.024,9.888,0.914,0,18.3,33.2,109.4,13,0,35.9,0,0,0,0,controlled_simulation
RN-01742,2026-08-26T21:16:24,simulated_help_call,0.4141,0.779,0.1,3391.8,-13.201,1,5.288,0.775,6.871,1.444,0,4.07,296.2,316.1,21,0,49.7,0,0,1,1,controlled_simulation
RN-01245,2026-08-01T16:57:19,social_shout_laughter,0.1431,0.5809,0.1509,2327.8,-17.739,0,1.335,1.235,5.755,3.757,0,5.86,17.8,27.2,16,0,7.0,0,0,0,0,controlled_simulation
RN-01697,2026-08-11T20:49:11,simulated_help_call,0.2766,0.7481,0.2101,3176.4,-9.1,1,2.903,1.039,5.616,0.933,0,3.78,335.6,489.1,20,0,108.0,0,0,0,1,controlled_simulation
RN-01183,2026-08-10T12:18:56,social_shout_laughter,0.1971,0.6061,0.2182,3347.4,-21.399,1,3.64,1.16,5.164,3.019,0,2.57,25.3,275.0,12,0,24.6,1,0,0,0,controlled_simulation
RN-00362,2026-08-19T20:16:52,normal_day_walk,0.015,0.3488,0.0833,1630.8,-9.74,0,3.71,0.892,11.355,2.583,0,5.43,6.1,123.1,20,0,30.8,2,0,0,0,controlled_simulation
RN-01474,2026-08-10T10:24:14,sudden_phone_drop,0.0712,0.1779,0.0973,1439.2,-13.754,0,15.304,4.909,21.986,13.849,1,4.87,5.7,146.0,10,0,49.2,0,0,0,0,controlled_simulation
RN-00679,2026-08-26T00:24:11,normal_night_walk,0.0553,0.0716,0.0525,1436.4,-20.313,0,1.595,0.709,5.021,0.545,0,6.04,47.4,153.3,0,1,45.8,0,0,0,0,controlled_simulation
RN-01622,2026-08-08T00:19:23,suspicious_night_deviation,0.0273,0.2204,0.0492,1666.3,-14.802,0,0.967,1.227,8.414,2.047,0,4.95,286.6,536.9,0,1,90.5,0,0,0,0,controlled_simulation
RN-01090,2026-08-24T06:55:06,exercise_running,0.0975,0.3395,0.1036,2043.5,-12.282,0,5.337,2.825,13.325,7.554,0,9.59,21.2,168.4,6,0,45.1,0,0,0,0,controlled_simulation
RN-01988,2026-08-27T04:56:11,manual_sos_simulation,0.0935,0.04,0.0984,2300.2,-20.801,0,4.243,1.022,8.598,3.933,0,2.98,392.4,219.2,4,1,101.5,0,1,1,1,controlled_simulation
RN-01848,2026-08-24T03:59:22,simulated_distress_combined,0.384,0.8936,0.1468,3591.4,-6.098,1,17.91,5.913,33.451,35.043,1,10.67,561.1,685.9,3,1,133.3,1,0,1,1,controlled_simulation
RN-00988,2026-08-09T19:32:44,exercise_running,0.0872,0.3294,0.0764,1575.3,-19.468,0,4.651,2.627,12.448,9.358,0,9.28,0.0,268.2,19,0,21.3,1,0,0,0,controlled_simulation
RN-01513,2026-08-08T02:27:46,suspicious_night_deviation,0.0253,0.0975,0.0745,1665.2,-16.5,0,1.357,0.788,6.581,4.173,0,3.5,366.9,900.0,2,1,95.3,1,0,0,0,controlled_simulation
RN-00112,2026-08-24T20:30:55,normal_day_walk,0.0752,0.2008,0.1002,1892.9,-30.182,0,1.988,1.174,5.257,4.755,0,4.19,19.0,23.4,20,0,55.7,0,0,0,0,controlled_simulation
RN-01488,2026-08-09T03:14:15,suspicious_night_deviation,0.0345,0.1813,0.0675,1512.2,-21.797,0,3.815,0.858,2.5,3.332,0,6.12,371.1,668.9,3,1,78.2,2,0,0,0,controlled_simulation
RN-01454,2026-08-29T22:02:01,sudden_phone_drop,0.0587,0.1956,0.0554,1894.9,-21.572,0,9.0,6.978,23.19,22.788,1,5.48,11.6,179.2,22,1,32.2,0,0,0,0,controlled_simulation
RN-00384,2026-08-21T22:48:27,normal_day_walk,0.0511,0.1902,0.0518,1632.6,-20.184,0,2.569,1.254,10.404,1.424,0,9.4,36.3,75.1,22,1,20.1,1,0,0,0,controlled_simulation
RN-01396,2026-08-17T18:03:22,minor_route_deviation,0.0578,0.1762,0.069,2358.1,-23.657,0,3.428,0.851,8.784,1.586,0,3.12,177.3,95.0,18,0,11.7,0,0,0,0,controlled_simulation
RN-01055,2026-08-25T14:27:53,exercise_running,0.1532,0.3709,0.0858,1494.0,-14.972,0,8.185,3.091,8.81,5.362,0,13.16,28.7,228.9,14,0,57.5,0,0,0,0,controlled_simulation
RN-00756,2026-08-31T08:39:22,normal_commute,0.0397,0.2695,0.0555,1873.3,-15.685,0,4.669,1.169,6.894,4.858,0,14.18,12.2,36.6,8,0,7.8,0,0,0,0,controlled_simulation
RN-00325,2026-08-18T16:04:36,normal_day_walk,0.0952,0.2308,0.0753,2802.0,-11.032,0,3.117,0.949,5.587,5.472,0,3.74,0.0,41.0,16,0,43.3,1,0,0,0,controlled_simulation
RN-01624,2026-08-11T04:50:47,suspicious_night_deviation,0.0672,0.1335,0.0901,1520.3,-23.922,0,2.607,1.785,5.836,4.7,0,7.14,470.1,374.5,4,1,79.8,1,0,0,0,controlled_simulation
RN-00788,2026-08-20T08:15:02,normal_commute,0.0366,0.283,0.0976,1590.1,-17.35,0,4.181,1.655,7.974,2.957,0,9.23,27.3,192.0,8,0,26.6,0,0,0,0,controlled_simulation
RN-00369,2026-08-21T16:27:58,normal_day_walk,0.0991,0.1924,0.0638,2426.6,-12.209,0,3.22,0.652,9.721,2.397,0,7.38,24.5,321.6,16,0,28.2,0,0,0,0,controlled_simulation
RN-01820,2026-08-30T10:18:53,simulated_fall,0.1869,0.4178,0.038,2053.9,-17.834,1,22.865,3.561,27.589,16.393,1,8.56,279.1,194.5,10,0,82.4,1,0,1,1,controlled_simulation
RN-00070,2026-08-10T11:13:53,normal_day_walk,0.0352,0.2291,0.1172,1727.7,-23.761,0,1.98,0.822,10.107,4.008,0,7.03,26.6,193.9,11,0,34.4,2,0,0,0,controlled_simulation
RN-00858,2026-08-13T09:13:08,normal_commute,0.0366,0.2884,0.0671,1438.4,-24.298,0,1.578,1.173,6.237,2.462,0,18.7,45.9,189.6,9,0,66.0,0,0,0,0,controlled_simulation
RN-01484,2026-08-21T02:42:14,suspicious_night_deviation,0.0866,0.1708,0.048,1779.8,-20.896,0,2.511,1.194,7.649,2.843,0,4.12,507.9,412.1,2,1,98.5,1,0,0,0,controlled_simulation
RN-01556,2026-08-13T21:23:38,suspicious_night_deviation,0.015,0.2355,0.0567,1491.3,-9.497,0,3.152,0.772,5.449,2.174,0,5.48,664.3,556.1,21,0,63.0,1,0,0,0,controlled_simulation
RN-01692,2026-08-24T03:36:27,simulated_help_call,0.2484,0.6617,0.1546,2867.6,-10.12,1,3.561,0.787,5.521,4.75,0,1.55,435.1,394.4,3,1,63.4,0,0,0,1,controlled_simulation
RN-01475,2026-08-26T18:28:14,sudden_phone_drop,0.0504,0.1043,0.1027,2778.4,-14.571,0,14.473,6.48,18.463,9.0,1,6.21,22.9,5.0,18,0,11.5,0,0,0,0,controlled_simulation
RN-01799,2026-08-12T16:22:26,simulated_fall,0.1453,0.2556,0.1137,1352.0,-15.804,0,16.3,6.599,31.651,22.99,1,9.89,165.0,109.4,16,0,73.9,0,0,0,1,controlled_simulation
RN-00479,2026-08-08T21:46:40,normal_night_walk,0.0453,0.1631,0.053,1820.9,-16.267,0,4.153,1.068,5.282,6.062,0,2.4,26.0,161.0,21,0,47.1,0,0,0,0,controlled_simulation
RN-00282,2026-08-21T17:54:19,normal_day_walk,0.0561,0.1351,0.124,1443.4,-21.676,0,4.724,0.732,8.355,2.616,0,5.39,17.4,178.8,17,0,29.1,2,0,0,0,controlled_simulation
RN-01648,2026-08-01T21:32:25,suspicious_night_deviation,0.0522,0.2725,0.1191,2542.2,-12.809,0,2.283,0.58,8.297,0.987,0,3.59,619.8,735.3,21,0,121.0,0,0,0,0,controlled_simulation
RN-01557,2026-08-08T22:16:01,suspicious_night_deviation,0.043,0.2558,0.0303,1986.3,-24.275,0,2.928,1.215,7.187,4.275,0,1.99,466.9,496.6,22,1,93.4,0,0,0,0,controlled_simulation
RN-01730,2026-08-21T05:41:08,simulated_help_call,0.3186,0.7661,0.2672,3029.8,-6.924,1,2.376,0.788,8.529,2.954,0,5.57,318.6,513.7,5,0,124.9,0,0,1,1,controlled_simulation
RN-00211,2026-08-03T17:45:11,normal_day_walk,0.0488,0.04,0.0786,833.4,-16.922,0,2.641,0.916,5.461,3.199,0,5.12,23.9,214.3,17,0,10.5,0,0,0,0,controlled_simulation
RN-00298,2026-08-23T12:54:06,normal_day_walk,0.0696,0.1767,0.0753,1963.6,-14.234,0,2.956,1.061,7.29,2.906,0,4.3,17.9,69.7,12,0,41.2,0,0,0,0,controlled_simulation
RN-01885,2026-08-20T04:23:48,simulated_distress_combined,0.3114,0.8526,0.2515,3746.5,-8.883,1,19.757,4.617,35.183,26.745,1,9.82,673.0,548.2,4,1,79.3,1,0,0,1,controlled_simulation
RN-01834,2026-08-03T15:57:50,simulated_fall,0.0445,0.4315,0.0511,2057.7,-16.817,0,17.631,5.117,33.578,33.964,1,9.13,202.2,169.8,15,0,79.8,0,0,0,1,controlled_simulation
RN-00652,2026-08-31T23:32:44,normal_night_walk,0.0304,0.2938,0.0636,2724.2,-21.461,0,4.627,1.398,7.023,1.79,0,5.18,37.5,330.1,23,1,21.7,0,0,0,0,controlled_simulation
RN-01234,2026-08-21T18:39:18,social_shout_laughter,0.1636,0.744,0.1535,3580.5,-14.296,1,3.659,0.498,6.505,0.933,0,4.76,10.8,237.1,18,0,9.1,0,0,0,0,controlled_simulation
RN-01503,2026-08-15T21:50:03,suspicious_night_deviation,0.0786,0.1099,0.0779,1834.8,-24.823,0,2.244,1.35,4.138,1.907,0,3.37,462.4,608.6,21,0,126.5,2,0,0,0,controlled_simulation
RN-01932,2026-08-30T20:53:17,manual_sos_simulation,0.0251,0.1858,0.0522,1555.2,-17.382,0,3.619,0.324,7.333,1.779,0,4.23,11.7,367.3,20,0,46.2,0,1,1,1,controlled_simulation
RN-00917,2026-08-11T08:50:26,normal_commute,0.0677,0.2389,0.0495,2497.4,-14.148,0,3.284,1.618,8.516,2.72,0,28.79,64.0,21.5,8,0,11.8,0,0,0,0,controlled_simulation
RN-00994,2026-08-30T08:08:20,exercise_running,0.0669,0.4276,0.0524,1693.5,-16.298,0,7.199,2.173,12.713,13.309,0,10.6,16.6,188.4,8,0,24.8,0,0,0,0,controlled_simulation
RN-00430,2026-08-12T01:04:22,normal_night_walk,0.0576,0.079,0.0766,1304.5,-14.201,0,4.178,1.063,9.818,2.759,0,5.14,14.7,180.1,1,1,14.5,0,0,0,0,controlled_simulation
RN-01371,2026-08-05T14:37:06,minor_route_deviation,0.04,0.1504,0.1102,1776.8,-21.288,0,3.069,0.867,11.882,1.487,0,4.29,156.4,200.2,14,0,1.0,0,0,0,0,controlled_simulation
RN-00240,2026-08-26T18:24:31,normal_day_walk,0.0539,0.1928,0.0784,1755.2,-19.645,0,4.604,0.995,9.418,4.478,0,4.05,14.6,243.4,18,0,11.8,0,0,0,0,controlled_simulation
RN-00880,2026-08-19T07:28:30,normal_commute,0.0614,0.2231,0.0691,1955.4,-16.278,0,3.745,0.807,9.293,3.306,0,11.72,48.8,172.7,7,0,27.6,0,0,0,0,controlled_simulation
RN-00621,2026-08-11T05:15:00,normal_night_walk,0.0514,0.2189,0.0895,1881.0,-14.027,0,2.569,1.288,6.486,3.551,0,5.14,0.0,73.5,5,0,41.4,0,0,0,0,controlled_simulation
RN-00257,2026-08-31T15:24:43,normal_day_walk,0.0403,0.0599,0.0609,1316.8,-15.24,0,2.803,1.364,12.053,3.074,0,5.14,12.8,232.4,15,0,24.6,0,0,0,0,controlled_simulation
RN-00612,2026-08-16T00:53:53,normal_night_walk,0.0491,0.2104,0.1146,1885.7,-13.934,0,3.224,0.659,4.229,3.315,0,8.55,26.0,98.6,0,1,24.1,0,0,0,0,controlled_simulation
RN-00545,2026-08-22T01:08:25,normal_night_walk,0.0353,0.2316,0.1024,1111.2,-26.01,0,0.755,0.943,10.352,3.009,0,7.31,43.6,190.1,1,1,7.1,0,0,0,0,controlled_simulation
RN-00772,2026-08-20T08:31:25,normal_commute,0.0408,0.1618,0.0872,1506.6,-22.12,0,3.33,1.064,10.645,4.212,0,11.94,27.0,158.5,8,0,26.5,0,0,0,0,controlled_simulation
RN-01420,2026-08-04T22:46:04,sudden_phone_drop,0.0335,0.2014,0.0288,2132.0,-17.847,0,13.561,4.048,25.423,13.742,1,3.34,63.2,26.9,22,1,31.9,0,0,0,0,controlled_simulation
RN-01042,2026-08-09T13:33:41,exercise_running,0.1091,0.2812,0.0839,2474.3,-11.471,0,5.62,1.657,14.902,11.029,0,13.54,7.3,188.3,13,0,5.1,0,0,0,0,controlled_simulation
RN-01790,2026-08-19T12:01:35,simulated_fall,0.1146,0.4328,0.0859,1687.2,-12.769,0,19.646,5.047,31.904,18.952,1,4.27,209.1,140.0,12,0,91.3,0,0,0,1,controlled_simulation
RN-00760,2026-08-16T07:08:25,normal_commute,0.0283,0.2131,0.06,1356.4,-12.341,0,2.797,0.953,5.963,3.644,0,17.12,37.5,244.6,7,0,30.9,0,0,0,0,controlled_simulation
RN-00383,2026-08-20T22:17:54,normal_day_walk,0.0733,0.2494,0.0623,1598.0,-9.288,0,2.441,1.449,7.412,2.61,0,2.68,13.3,93.3,22,1,33.4,0,0,0,0,controlled_simulation
RN-01104,2026-08-26T08:11:09,exercise_running,0.16,0.2375,0.0915,2184.0,-23.305,0,7.614,2.045,15.934,8.315,0,8.3,32.5,205.8,8,0,22.7,0,0,0,0,controlled_simulation
RN-00974,2026-08-18T11:20:12,exercise_running,0.1289,0.2955,0.0316,1983.4,-18.012,0,5.194,2.201,11.639,7.699,0,10.22,27.5,126.1,11,0,14.8,0,0,0,0,controlled_simulation
RN-00353,2026-08-30T21:14:54,normal_day_walk,0.0532,0.1822,0.0378,1631.8,-11.856,0,3.625,1.987,7.88,3.795,0,7.61,28.8,104.8,21,0,23.1,0,0,0,0,controlled_simulation
RN-01606,2026-08-24T04:54:49,suspicious_night_deviation,0.0388,0.1861,0.062,1694.3,-13.089,0,3.127,0.977,7.469,3.916,0,2.19,573.5,749.7,4,1,92.2,1,0,0,0,controlled_simulation
RN-01826,2026-08-09T10:40:24,simulated_fall,0.1427,0.4913,0.084,2270.4,-25.244,0,18.233,3.734,29.263,21.706,1,5.94,247.9,49.3,10,0,56.3,0,0,0,1,controlled_simulation
RN-01037,2026-08-29T17:34:12,exercise_running,0.0963,0.1742,0.0248,1867.2,-30.657,0,7.329,2.88,11.444,8.355,0,11.35,17.8,53.9,17,0,48.1,0,0,0,0,controlled_simulation
RN-01108,2026-08-19T20:51:03,exercise_running,0.0961,0.2734,0.0923,1595.2,-19.017,0,6.488,2.39,17.434,5.518,0,11.95,6.4,202.1,20,0,78.4,0,0,0,0,controlled_simulation
RN-00495,2026-08-28T03:16:39,normal_night_walk,0.0436,0.2098,0.0977,1228.1,-17.013,0,2.223,1.322,10.258,4.957,0,3.28,54.1,93.1,3,1,30.9,0,0,0,0,controlled_simulation
RN-00394,2026-08-13T09:41:54,normal_day_walk,0.0185,0.2176,0.1211,2288.7,-28.778,0,5.992,1.057,7.262,3.892,0,7.04,16.9,121.8,9,0,31.7,0,0,0,0,controlled_simulation
RN-01547,2026-08-29T03:56:09,suspicious_night_deviation,0.0574,0.1707,0.0983,1608.8,-10.159,0,2.859,0.98,7.565,2.649,0,6.14,350.3,667.2,3,1,89.1,0,0,0,0,controlled_simulation
